user,review,rating,date,app,cleaned_review,review_length,month,year,detected_patterns,has_dark_pattern,pattern_count,detected_patterns_str
Asad Mehmood,"I had booked a flight with FlyAir through the MakeMyTrip app for 25th March. Unfortunately, the flight was cancelled three days prior. I requested a refund through the MakeMyTrip app. Your response stated that my refund had been credited to the FlyAir wallet and would be available as a voucher for future bookings on the same airline. However, when I contacted FlyAir, they informed your refund already refunded. Please coordinate to website(MakeMyTrip). I have not received refund or voucher number",1,2026-03-17 17:53:07,MakeMyTrip,i had booked a flight with flyair through the makemytrip app for 25th march unfortunately the flight was cancelled three days prior i requested a refund through the makemytrip app your response stated that my refund had been credited to the flyair wallet and would be available as a voucher for future bookings on the same airline however when i contacted flyair they informed your refund already refunded please coordinate to website makemytrip i have not received refund or voucher number,500,3,2026,[],False,0,none
manish s,"calendar doesn't show correct dates. go to train booking or bus booking, select a date it shows 1's and 2s in the calendar. your developers and testers are so lazy to test this app? or the company doesn't have test cases to run validation?",1,2026-03-17 17:32:31,MakeMyTrip,calendar doesn t show correct dates go to train booking or bus booking select a date it shows 1 s and 2s in the calendar your developers and testers are so lazy to test this app or the company doesn t have test cases to run validation,239,3,2026,[],False,0,none
Syed Basheer Uddin,"worst service ever ,no response from costumer care.",1,2026-03-17 17:19:30,MakeMyTrip,worst service ever no response from costumer care,51,3,2026,['roach_motel'],True,1,roach_motel
Amit Kothiyal,Unresponsive and fraudster,1,2026-03-17 17:14:25,MakeMyTrip,unresponsive and fraudster,26,3,2026,[],False,0,none
Hossam Hassan,شركة نصابة بمجرد ما تدفع ثمن تذكرة ويحصل خطأ او شي مشابة لا تستطيع بعدها استرداد اموالك كل ما تكلمهم يقولون رفعنا الطلب انتظر ٣ ايام تكلمهم ثاني يقولون رفعنا الطلب انتظر ٧ ايام واحب ابلغ الجميع راح تنتظر قريب الشهر هذا اذا بترجع الفلوس تجربة سيئة جداااااااااا جداااااااااا جداااااااااا 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2026-03-17 16:11:50,MakeMyTrip,,330,3,2026,[],False,0,none
Vijayakumar Nakka,worest app take money but not retan uninstall the app west of time,1,2026-03-17 15:52:44,MakeMyTrip,worest app take money but not retan uninstall the app west of time,66,3,2026,[],False,0,none
Neetu Paul,"I booked my flight for 8 april 2026, for some reason i was rescheduling my ticket from 8 th April to 30 march and for the date change fees amount deducted from my account. but they didn't revised my flight booking date and did not even get my refund back.",1,2026-03-17 15:36:53,MakeMyTrip,i booked my flight for 8 april 2026 for some reason i was rescheduling my ticket from 8 th april to 30 march and for the date change fees amount deducted from my account but they didn t revised my flight booking date and did not even get my refund back,255,3,2026,['forced_subscription'],True,1,forced_subscription
Manoj Nair,The credit card payment process took 2-3 iterations to complete successfully,4,2026-03-17 15:32:49,MakeMyTrip,the credit card payment process took 2 3 iterations to complete successfully,76,3,2026,[],False,0,none
Jamshiya world,not piking call the costumer care,1,2026-03-17 15:19:49,MakeMyTrip,not piking call the costumer care,33,3,2026,[],False,0,none
Chandni Bhardwaj,very pathetic service. this a fake site . bookings not shown on airlines also they deducted all amount. when raised complaint they are like its a service charge,1,2026-03-17 15:17:09,MakeMyTrip,very pathetic service this a fake site bookings not shown on airlines also they deducted all amount when raised complaint they are like its a service charge,160,3,2026,['forced_subscription'],True,1,forced_subscription
Jeya Nagaraj,not response this app...,1,2026-03-17 14:51:30,MakeMyTrip,not response this app,24,3,2026,[],False,0,none
Sanal kumar.R,good experience is awesome,4,2026-03-17 14:48:47,MakeMyTrip,good experience is awesome,26,3,2026,[],False,0,none
Mahatheer Mohamed mohamed basheer,Not even worth for 1 star.. Very Poor response from make my trip for calls and emails . Response not getting from make my trip..Better to book tickets only own website..Don't consider these make my trip further in any situation,1,2026-03-17 13:58:01,MakeMyTrip,not even worth for 1 star very poor response from make my trip for calls and emails response not getting from make my trip better to book tickets only own website don t consider these make my trip further in any situation,227,3,2026,[],False,0,none
anand gaddam,nice experience with MakeMyTrip.,5,2026-03-17 13:17:58,MakeMyTrip,nice experience with makemytrip,32,3,2026,[],False,0,none
Amrit Poudel,very very bad & worst service ever in my life time experience .i booked ticket 2 months ago then they cancel my ticket 20 days early.when i requested for reschedhule my flight i keep messages & keep calling no response.its already been 5 days i requested for full refund still i didn't received .i prefer to everyone do not use this app.worst experience ever.,1,2026-03-17 12:30:27,MakeMyTrip,very very bad worst service ever in my life time experience i booked ticket 2 months ago then they cancel my ticket 20 days early when i requested for reschedhule my flight i keep messages keep calling no response its already been 5 days i requested for full refund still i didn t received i prefer to everyone do not use this app worst experience ever,359,3,2026,['roach_motel'],True,1,roach_motel
Shaban Ahmed,very third class app i book my tickt from this site but my flight cancel by airline so next i take refund process but 10days no respons from (makemytrip app) so big scammer beaware,1,2026-03-17 12:14:50,MakeMyTrip,very third class app i book my tickt from this site but my flight cancel by airline so next i take refund process but 10days no respons from makemytrip app so big scammer beaware,180,3,2026,[],False,0,none
Mokarim Khan,"Very poor and unprofessional service from MakeMyTrip. I booked tickets on 7th March, and my airline (Etihad) cancelled the flight due to the war and confirmed a refund. I raised the request on 6th March as per their email stating refund within 7 days. It’s now 17th March—no refund, no response. Customer support is useless and unreachable. Completely unacceptable experience. This kind of negligence and lack of accountability is unacceptable. They are holding customers’ money.",1,2026-03-17 12:12:13,MakeMyTrip,very poor and unprofessional service from makemytrip i booked tickets on 7th march and my airline etihad cancelled the flight due to the war and confirmed a refund i raised the request on 6th march as per their email stating refund within 7 days it s now 17th march no refund no response customer support is useless and unreachable completely unacceptable experience this kind of negligence and lack of accountability is unacceptable they are holding customers money,479,3,2026,['roach_motel'],True,1,roach_motel
Real Atul,trip guarantee 😜 this is the scheme for making fool . they promise we will give give 3x return but you cannot use it anywhere and vality is 7days but it like just I will make you rich but you can't be rich,1,2026-03-17 11:55:04,MakeMyTrip,trip guarantee this is the scheme for making fool they promise we will give give 3x return but you cannot use it anywhere and vality is 7days but it like just i will make you rich but you can t be rich,205,3,2026,[],False,0,none
vyshakh m k,"I booked my flight tickets from sharjah to kannur on 8th.march.ticket got cancelled by airline . still I didn't received my refund amount . while checking with airline, they mentioned the amount is transferred to make my trip account ... by sending several emails. I didnt got any updates regarding the payment.",1,2026-03-17 11:42:42,MakeMyTrip,i booked my flight tickets from sharjah to kannur on 8th march ticket got cancelled by airline still i didn t received my refund amount while checking with airline they mentioned the amount is transferred to make my trip account by sending several emails i didnt got any updates regarding the payment,311,3,2026,[],False,0,none
Sudhakar Ptm,unable to reach customer service through phone and app,1,2026-03-17 08:45:50,MakeMyTrip,unable to reach customer service through phone and app,54,3,2026,[],False,0,none
Vishal Barad,Pathetic experience.. there is no way to speak to a customer support executive after booking is done.. nonsense. no ivr option no escalation matrix I made a mistake booking from this pathetic app.,1,2026-03-17 07:35:48,MakeMyTrip,pathetic experience there is no way to speak to a customer support executive after booking is done nonsense no ivr option no escalation matrix i made a mistake booking from this pathetic app,196,3,2026,[],False,0,none
Sunil Kumar Singh,Used the app for booking hotels and flights with great convenience.,5,2026-03-17 01:45:05,MakeMyTrip,used the app for booking hotels and flights with great convenience,67,3,2026,[],False,0,none
Ankit Raushan,adbhut adbhutam adbhutaye...,5,2026-03-17 01:14:48,MakeMyTrip,adbhut adbhutam adbhutaye,28,3,2026,[],False,0,none
Vishal Pahwa,"Extremely disappointing experience.I booked this hotel Paragon Suites delhi through MakeMyTrip trusting the quality and verification they claim to provide. However,the property was in very poor condition.The room cleanliness was unacceptable,maintenance was poor, and several basic amenities were either missing or not working.This stay was far below the standard that was shown on MakeMyTrip while booking.I feel misled by the listing and expected better qualitycontrol from the platform.need refund",1,2026-03-17 01:02:39,MakeMyTrip,extremely disappointing experience i booked this hotel paragon suites delhi through makemytrip trusting the quality and verification they claim to provide however the property was in very poor condition the room cleanliness was unacceptable maintenance was poor and several basic amenities were either missing or not working this stay was far below the standard that was shown on makemytrip while booking i feel misled by the listing and expected better qualitycontrol from the platform need refund,500,3,2026,[],False,0,none
Satish Nukala,"Extremely disappointed with my experience with MakeMyTrip. I requested a date change for my flight and paid the additional fee as instructed. However, after two days they informed me that the change could not be processed and simply apologized. Because of this delay, the ticket price has now increased drastically and I am forced to pay 70K INR instead of 16K. This kind of service is completely unacceptable. If the change was not possible, they should have informed me immediately. worst service.",1,2026-03-17 00:04:50,MakeMyTrip,extremely disappointed with my experience with makemytrip i requested a date change for my flight and paid the additional fee as instructed however after two days they informed me that the change could not be processed and simply apologized because of this delay the ticket price has now increased drastically and i am forced to pay 70k inr instead of 16k this kind of service is completely unacceptable if the change was not possible they should have informed me immediately worst service,499,3,2026,['trick_question'],True,1,trick_question
Gagan jan Gagan jan,"my extreme disappointment and frustration with the service—or lack thereof—provided by MakeMyTrip. For the past three days, I have repeatedly attempted to contact your customer support team regarding my booking. Each time, my calls were directed to an automated IVR system that offered no option to speak with a live representative. Due to this technical barrier and the total absence of human assistance, I was unable to resolve my issue, resulting in the loss of my entire booking amount.",1,2026-03-16 23:42:06,MakeMyTrip,my extreme disappointment and frustration with the service or lack thereof provided by makemytrip for the past three days i have repeatedly attempted to contact your customer support team regarding my booking each time my calls were directed to an automated ivr system that offered no option to speak with a live representative due to this technical barrier and the total absence of human assistance i was unable to resolve my issue resulting in the loss of my entire booking amount,490,3,2026,[],False,0,none
Azlan Khan,"very bad experience , no support from customer service , although i have booked around 100 airline tickets from them , but there is no support from their customer service , the only answer we get is woat for 48 hours then again after 48 hours they will say same thing wait for another 48 hours",1,2026-03-16 23:07:10,MakeMyTrip,very bad experience no support from customer service although i have booked around 100 airline tickets from them but there is no support from their customer service the only answer we get is woat for 48 hours then again after 48 hours they will say same thing wait for another 48 hours,293,3,2026,[],False,0,none
Mustafa Ashraf,makemytrip is the worst platform out there. i had booked a flight for 17th march 2026 but airlines cancelled flights. makemytrip cleverly moved the cancelled flights from the options to get customer care support inside the app. there is no official email for contacting support. i am never going to book flight using this app as it just dont want us to get the rightful refunds.,1,2026-03-16 22:51:38,MakeMyTrip,makemytrip is the worst platform out there i had booked a flight for 17th march 2026 but airlines cancelled flights makemytrip cleverly moved the cancelled flights from the options to get customer care support inside the app there is no official email for contacting support i am never going to book flight using this app as it just dont want us to get the rightful refunds,378,3,2026,[],False,0,none
Puvvala Bhargav,vary helpful and Trip granted option is vary good thing Nice app thanks for shopping,5,2026-03-16 22:09:40,MakeMyTrip,vary helpful and trip granted option is vary good thing nice app thanks for shopping,84,3,2026,[],False,0,none
Riyaz Ahmed Awati,"careless useless app service. Very disappointing experience with MakeMyTrip. My flight was canceled by the airline, not by me, so I still didn't receiverefund. However, MakeMyTrip is not going refund the full amount and will deducted money without any clear explanation. Customer support was not helpful and failed to provide a proper response. Overall, a very frustrating experience. I would be careful before booking through this platform. Overall I'd never ecommend to anyone..",1,2026-03-16 22:06:47,MakeMyTrip,careless useless app service very disappointing experience with makemytrip my flight was canceled by the airline not by me so i still didn t receiverefund however makemytrip is not going refund the full amount and will deducted money without any clear explanation customer support was not helpful and failed to provide a proper response overall a very frustrating experience i would be careful before booking through this platform overall i d never ecommend to anyone,480,3,2026,['forced_subscription'],True,1,forced_subscription
safvan parayil,"I booked through MakeMyTrip because I believed it was a reliable platform for managing travel. Sadly, this experience made me feel unsupported as a customer. Timely notifications and better customer support are extremely important in situations like flight cancellations. I hope MakeMyTrip improves its communication system so that travelers receive immediate updates about changes to their flights. No customer should have to face unnecessary travel, expenses, and stress because of missing infmtn",1,2026-03-16 21:43:36,MakeMyTrip,i booked through makemytrip because i believed it was a reliable platform for managing travel sadly this experience made me feel unsupported as a customer timely notifications and better customer support are extremely important in situations like flight cancellations i hope makemytrip improves its communication system so that travelers receive immediate updates about changes to their flights no customer should have to face unnecessary travel expenses and stress because of missing infmtn,498,3,2026,[],False,0,none
Shubham sharma,"not at all recommended, poor support on gold membership",1,2026-03-16 21:33:44,MakeMyTrip,not at all recommended poor support on gold membership,55,3,2026,[],False,0,none
Bhagyalekshmi,"I am very disappointed with MakeMyTrip’s customer service. I have been using this app for years but never needed support until now. Due to the current geopolitical situation, I need to cancel or reschedule my two flight tickets. I tried calling customer care many times and even used the paid call option, but no one responded after transferring the call. I spent hours trying to connect but got no help. I may lose all my money. This is very frustrating during a crisis.",1,2026-03-16 20:53:35,MakeMyTrip,i am very disappointed with makemytrip s customer service i have been using this app for years but never needed support until now due to the current geopolitical situation i need to cancel or reschedule my two flight tickets i tried calling customer care many times and even used the paid call option but no one responded after transferring the call i spent hours trying to connect but got no help i may lose all my money this is very frustrating during a crisis,471,3,2026,[],False,0,none
Mohit thakur,"My bus was scheduled for 12:15, but due to a technical error, it was delayed and rescheduled to 1:26.We reached the location on time, but the bus driver neither answered his phone—nor did we have his contact number to get in touch—and he left without picking me up. kindly request you to refund my amount as soon as possible.",1,2026-03-16 20:00:12,MakeMyTrip,my bus was scheduled for 12 15 but due to a technical error it was delayed and rescheduled to 1 26 we reached the location on time but the bus driver neither answered his phone nor did we have his contact number to get in touch and he left without picking me up kindly request you to refund my amount as soon as possible,325,3,2026,[],False,0,none
Mohamed Salama,No response from the customer services and my flight was canceled and they pending my status and till now not received my full refund Very bad company and I don't recommend it to anyone,1,2026-03-16 19:58:27,MakeMyTrip,no response from the customer services and my flight was canceled and they pending my status and till now not received my full refund very bad company and i don t recommend it to anyone,185,3,2026,['roach_motel'],True,1,roach_motel
Manish Ji,"cyber crime app. reported them to cyber crime portal. they run a online fraud in collaboration with fake cab drivers. they ask for booking amount, driver doesn't show up. your booking amount is gone into thin air. hope government and police take notice. fraudsters and cheats. this app should be banned from play store because main purpose seems cyber crime.",1,2026-03-16 19:30:24,MakeMyTrip,cyber crime app reported them to cyber crime portal they run a online fraud in collaboration with fake cab drivers they ask for booking amount driver doesn t show up your booking amount is gone into thin air hope government and police take notice fraudsters and cheats this app should be banned from play store because main purpose seems cyber crime,358,3,2026,[],False,0,none
Vignesh Anand,"worst experience lost around 2.3 k I booked a train ticket for my family members with free cancellation option they charged 350 rs for free cancellation, i cancelled before departure, they send message refund can not be prceseed due to some reasons then y do you charge 350 for free cancellation if you have conditions why do you mentioned it as free cancellation wost ever experience I not going to recommend this app any more i have lost around 2300 due to this booking because of this",1,2026-03-16 17:43:13,MakeMyTrip,worst experience lost around 2 3 k i booked a train ticket for my family members with free cancellation option they charged 350 rs for free cancellation i cancelled before departure they send message refund can not be prceseed due to some reasons then y do you charge 350 for free cancellation if you have conditions why do you mentioned it as free cancellation wost ever experience i not going to recommend this app any more i have lost around 2300 due to this booking because of this,487,3,2026,[],False,0,none
amit sharma,"supeb App, always use MMT for my bookings",5,2026-03-16 17:37:17,MakeMyTrip,supeb app always use mmt for my bookings,41,3,2026,[],False,0,none
Akshay,cheating website. No one support to update the status of refund for cancelled flight tickets.,1,2026-03-16 17:33:49,MakeMyTrip,cheating website no one support to update the status of refund for cancelled flight tickets,93,3,2026,[],False,0,none
James James,"The Airline cancelled my Flight and I didn't get any prompt from makemytrip, while the flight were removed from there app. Very disappointing. They also don't provide any email support and their landline is totally unreliable. I've been calling them since last week and no one is answering, til now I didn't get any from them. The worst booking app with no customer support. I would suggest to avoid using this 3rd party booking agent if you don't want headache.",1,2026-03-16 17:26:06,MakeMyTrip,the airline cancelled my flight and i didn t get any prompt from makemytrip while the flight were removed from there app very disappointing they also don t provide any email support and their landline is totally unreliable i ve been calling them since last week and no one is answering til now i didn t get any from them the worst booking app with no customer support i would suggest to avoid using this 3rd party booking agent if you don t want headache,462,3,2026,['roach_motel'],True,1,roach_motel
Basavaraj Ganagi,Cheaper than other apps,5,2026-03-16 17:25:54,MakeMyTrip,cheaper than other apps,23,3,2026,[],False,0,none
sabith pp,no response from they're part,1,2026-03-16 17:02:36,MakeMyTrip,no response from they re part,29,3,2026,['roach_motel'],True,1,roach_motel
Shanaz Zaman,worst customer service. i cancelled my flight due to middle east crisis. airline is giving 100% refund but mmt is not. i tried to reach customer service but they are not responding.,1,2026-03-16 17:02:22,MakeMyTrip,worst customer service i cancelled my flight due to middle east crisis airline is giving 100 refund but mmt is not i tried to reach customer service but they are not responding,181,3,2026,['roach_motel'],True,1,roach_motel
Prashant Agarwal,"Absolutely wonderful App, in the last many years with most of my booking with MMT App ; i have had a very hassle free, cheating free, competitive prices, easy cancellation and refund experience. A must have for all the Travellers out there.",5,2026-03-16 16:45:33,MakeMyTrip,absolutely wonderful app in the last many years with most of my booking with mmt app i have had a very hassle free cheating free competitive prices easy cancellation and refund experience a must have for all the travellers out there,240,3,2026,[],False,0,none
VIKQUEST MEETS,good experience using this application,3,2026-03-16 14:51:16,MakeMyTrip,good experience using this application,38,3,2026,[],False,0,none
Wasif Zafar,they dont respond to your calls when needed and afterwards says sorry,1,2026-03-16 13:44:01,MakeMyTrip,they dont respond to your calls when needed and afterwards says sorry,69,3,2026,[],False,0,none
Nivedita Tiwari,"we have done the booking for our company and tds was deducted , payment on behalf of make my trip. After providing the form 16 they have to refund this TDS amount to client as per government rule. now these people on recorded call say we dont follow rules of Government of India. I am gonna sent legal notice for this. atleast share the email address on which we can share the legal notice.",1,2026-03-16 13:23:26,MakeMyTrip,we have done the booking for our company and tds was deducted payment on behalf of make my trip after providing the form 16 they have to refund this tds amount to client as per government rule now these people on recorded call say we dont follow rules of government of india i am gonna sent legal notice for this atleast share the email address on which we can share the legal notice,390,3,2026,['forced_subscription'],True,1,forced_subscription
